"질의","응답","카테고리"
"오늘 운동 가기 너무 귀찮아","그래도 10분만이라도 움직여봐","DAILY"
"근력운동 얼마나 자주 해야해","주 3회 정도면 충분해","DAILY"
"걷기운동도 효과 있어","어 매일 꾸준히 걸으면 진짜 좋아","DAILY"
"요즘 옷 사고 싶은데 뭐가 유행이야","요즘은 루즈핏 스타일이 유행이야","DAILY"
"신발 하나 사려는데 추천해줄래","편한 스니커즈 하나 사둬","DAILY"
"가을 옷 쇼핑하기 좋은 시즌인가","어 지금이 딱 좋은 시기야","DAILY"
"온라인 쇼핑몰 추천해줘","요즘 다들 무신사 많이 쓰더라","DAILY"
"세일 기간 언제야","이번 주말부터 시작한다더라","DAILY"
"가방 하나 새로 살까 고민돼","실용적인 크로스백 하나 괜찮아","DAILY"
"화장품 뭐 새로 써볼까","요즘 리뷰 좋은 선크림 하나 써봐","DAILY"
"겨울 코트 뭐가 따뜻해","롱패딩이 제일 따뜻하지","DAILY"
"인테리어 소품 사고 싶은데 추천해줘","무드등 하나 놓으면 분위기 좋아져","DAILY"
"운동화 세탁 어떻게 해","미온수에 손빨래 하는 게 제일 좋아","DAILY"
"요즘 볼만한 드라마 있어","요즘 나오는 로맨스 드라마 재밌더라","DAILY"
"영화 추천 좀 해줘","잔잔한 힐링 영화 어때","DAILY"
"넷플릭스 뭐 볼까 고민돼","요즘 다들 그 스릴러 시리즈 보더라","DAILY"
"요즘 재밌는 책 있어","에세이 하나 요즘 재밌게 읽고 있어","DAILY"
"최근에 본 영화 어땠어","생각보다 재밌어서 놀랐어","DAILY"
"웹툰 추천해줄래","요즘 인기 많은 판타지 웹툰 있어","DAILY"
"예능 뭐 보면 재밌어","요즘 여행 예능 재밌더라","DAILY"
"다큐멘터리 볼 만한 거 있어","자연 다큐 하나 진짜 힐링돼","DAILY"
"애니메이션 추천해줘","요즘 나온 극장판 애니 괜찮더라","DAILY"
"요즘 노래 뭐 듣고 있어","잔잔한 발라드 위주로 듣고 있어","DAILY"
"벌써 연말이네 시간 진짜 빠르다","그러게 올해도 순삭이었어","DAILY"
"추석에 뭐할 계획이야","그냥 가족들이랑 시간 보내려고","DAILY"
"크리스마스 계획 있어","아직 딱히 없어 그냥 집에서 쉴 듯","DAILY"
"새해 목표 세웠어","어 올해는 운동 꾸준히 하는 거로 정했어","DAILY"
"이번 연휴 뭐 할 거야","그냥 집에서 밀린 잠 자려고","DAILY"
"벚꽃 언제쯤 필까","다음 달쯤이면 슬슬 피기 시작할 거야","DAILY"
"단풍 보러 가기 좋은 곳 있어","설악산 단풍이 진짜 예쁘다더라","DAILY"
"여름휴가 계획 있어","아직 못 정했는데 이번 주에 정하려고","DAILY"
"명절 음식 뭐가 제일 좋아","나는 전이랑 갈비찜이 제일 좋아","DAILY"
"겨울방학 계획 세웠어","그냥 푹 쉬면서 재충전하려고","DAILY"
"오늘따라 하늘이 예쁘다","그러게 노을이 진짜 예쁘네","DAILY"
"요즘 너무 나른해","봄이라 그런가보다 다들 그렇대","DAILY"
"이 노래 진짜 좋다","어 나도 요즘 계속 듣고 있어","DAILY"
"오늘 좀 웃긴 일 있었어","뭔데 궁금하다 얘기해줘","DAILY"
"요즘 사는 게 재미없어","그럴 때는 새로운 걸 시도해보는 것도 좋아","DAILY"
"오늘 우연히 옛날 친구 만났어","오 반가웠겠다 얘기 많이 했어","DAILY"
"오늘 지갑을 잃어버릴 뻔했어","다행이다 그래도 안 잃어버려서","DAILY"
"오늘 버스를 놓쳤어","아 아깝다 다음 버스는 언제 왔어","DAILY"
"오늘 늦잠 자서 지각할 뻔했어","아슬아슬했겠다 그래도 다행이네","DAILY"
"오늘 갑자기 소나기 맞았어","아이고 우산도 없었는데 고생했다","DAILY"
"오늘 회사에서 칭찬받았어","오 잘했네 축하해","DAILY"
"오늘 시험 망친 것 같아","너무 걱정하지마 결과는 나와봐야 알아","DAILY"
"오늘 친구랑 싸웠어","무슨 일인데 화해는 했어","DAILY"
"오늘 길에서 돈 주웠어","오 럭키하다 경찰서에 맡겼어","DAILY"
"오늘 새로 산 옷 마음에 들어","오 어떤 스타일인지 궁금하다","DAILY"
"오늘 오랜만에 늦잠 잤어","개운했겠다 푹 잤나보네","DAILY"
"이 카페 분위기 진짜 좋다","그러게 조용하고 아늑하네","DAILY"
"요즘 물가가 너무 올랐어","맞아 장 보러 가면 깜짝깜짝 놀라","DAILY"
"요즘 사람들 다 바빠 보여","다들 각자 사정이 있나보다","DAILY"
"오늘 지하철에 사람 진짜 많더라","출퇴근 시간엔 항상 그렇지","DAILY"
"오늘 아침에 새소리 듣고 기분 좋아졌어","오 좋다 그런 소소한 게 힐링이지","DAILY"
"오늘 우연히 좋은 음악 발견했어","오 뭔데 나도 들어보고 싶다","DAILY"
"오늘따라 시간이 안 가네","그런 날 있지 조금만 버텨봐","DAILY"
"오늘 손님이 많이 와서 정신없었어","고생했다 오늘은 푹 쉬어","DAILY"
"오늘따라 커피가 유독 맛있네","원두 바꿨나보다 좋은 신호야","DAILY"
"요즘 가족들이랑 자주 통화해","어 요즘 부쩍 자주 연락하고 있어","DAILY"
"부모님 뵈러 언제 갈 거야","다음 주말에 내려가려고","DAILY"
"형제자매랑 사이 어때","나쁘지 않아 가끔 투닥거리긴 해","DAILY"
"요즘 친구들이랑 자주 만나","요즘은 다들 바빠서 뜸해졌어","DAILY"
"오랜만에 동창회 갔다왔어","오 재밌었겠다 다들 잘 지내던","DAILY"
"이웃이랑 인사 나눈 적 있어","어 가끔 엘리베이터에서 인사해","DAILY"
"요즘 이사 준비하고 있어","오 힘들겠다 짐 정리는 잘 되가","DAILY"
"집들이 뭐 준비해야해","간단한 선물이랑 화장지 세트 챙겨가","DAILY"
"자취 시작했는데 뭐가 제일 힘들어","밥 챙겨먹는 게 제일 힘들지","DAILY"
"룸메이트랑 잘 지내","어 서로 배려 잘 하고 있어","DAILY"
"오늘 청소 좀 했어","오 개운하겠다 집이 깨끗해졌겠네","DAILY"
"빨래 너는 거 귀찮지 않아","맞아 진짜 귀찮은 집안일이야","DAILY"
"설거지 하기 진짜 싫다","나도 그거 제일 미루게 되더라","DAILY"
"오늘 장 보러 갔다왔어","뭐 좀 샀어 필요한 거 다 샀어","DAILY"
"오늘 하루도 수고했어","어 너도 오늘 하루 정말 수고했어","DAILY"
